,FC_measure,band,frm,to,r
0,aec,1-delta,.1973WilsonCowan,.1973WilsonCowan,1.0
1,plv,1-delta,.1973WilsonCowan,.1973WilsonCowan,0.9999999999999999
2,aec,2-theta,.1973WilsonCowan,.1973WilsonCowan,1.0
3,plv,2-theta,.1973WilsonCowan,.1973WilsonCowan,1.0
4,aec,3-alfa,.1973WilsonCowan,.1973WilsonCowan,1.0
5,plv,3-alfa,.1973WilsonCowan,.1973WilsonCowan,0.9999999999999999
6,aec,4-beta,.1973WilsonCowan,.1973WilsonCowan,1.0
7,plv,4-beta,.1973WilsonCowan,.1973WilsonCowan,1.0
8,aec,5-gamma,.1973WilsonCowan,.1973WilsonCowan,0.9999999999999999
9,plv,5-gamma,.1973WilsonCowan,.1973WilsonCowan,0.9999999999999999
10,aec,1-delta,.1973WilsonCowan,FC_subj02,-0.017227535568698743
11,plv,1-delta,.1973WilsonCowan,FC_subj02,0.030449087953948507
12,aec,2-theta,.1973WilsonCowan,FC_subj02,0.05270050636795675
13,plv,2-theta,.1973WilsonCowan,FC_subj02,0.08009879036858733
14,aec,3-alfa,.1973WilsonCowan,FC_subj02,0.03916327351715052
15,plv,3-alfa,.1973WilsonCowan,FC_subj02,0.11217692491881019
16,aec,4-beta,.1973WilsonCowan,FC_subj02,0.057633858460184484
17,plv,4-beta,.1973WilsonCowan,FC_subj02,0.10908265717894033
18,aec,5-gamma,.1973WilsonCowan,FC_subj02,0.05279879330900455
19,plv,5-gamma,.1973WilsonCowan,FC_subj02,0.05176908723396549
20,aec,1-delta,.1973WilsonCowan,FC_subj03,-0.027067420565298376
21,plv,1-delta,.1973WilsonCowan,FC_subj03,0.0022574613624951946
22,aec,2-theta,.1973WilsonCowan,FC_subj03,0.01599118789170917
23,plv,2-theta,.1973WilsonCowan,FC_subj03,0.07376965985152234
24,aec,3-alfa,.1973WilsonCowan,FC_subj03,0.05020780634466791
25,plv,3-alfa,.1973WilsonCowan,FC_subj03,0.17567047680163186
26,aec,4-beta,.1973WilsonCowan,FC_subj03,-0.008164520736246782
27,plv,4-beta,.1973WilsonCowan,FC_subj03,0.13654658231934677
28,aec,5-gamma,.1973WilsonCowan,FC_subj03,0.05375048334701513
29,plv,5-gamma,.1973WilsonCowan,FC_subj03,0.04439190862511897
30,aec,1-delta,.1973WilsonCowan,FC_subj04,-0.023425582838386774
31,plv,1-delta,.1973WilsonCowan,FC_subj04,0.03318048267300814
32,aec,2-theta,.1973WilsonCowan,FC_subj04,0.033942812614177996
33,plv,2-theta,.1973WilsonCowan,FC_subj04,0.07273364763113407
34,aec,3-alfa,.1973WilsonCowan,FC_subj04,0.03552176185572836
35,plv,3-alfa,.1973WilsonCowan,FC_subj04,0.12184357146177
36,aec,4-beta,.1973WilsonCowan,FC_subj04,0.05857607320063875
37,plv,4-beta,.1973WilsonCowan,FC_subj04,0.1317976553877663
38,aec,5-gamma,.1973WilsonCowan,FC_subj04,0.04596997267958811
39,plv,5-gamma,.1973WilsonCowan,FC_subj04,0.0698792578030025
40,aec,1-delta,.1973WilsonCowan,FC_subj05,0.047972910849778345
41,plv,1-delta,.1973WilsonCowan,FC_subj05,0.032118636053923455
42,aec,2-theta,.1973WilsonCowan,FC_subj05,0.02606952778194418
43,plv,2-theta,.1973WilsonCowan,FC_subj05,0.11633021502590395
44,aec,3-alfa,.1973WilsonCowan,FC_subj05,0.05022998397505034
45,plv,3-alfa,.1973WilsonCowan,FC_subj05,0.1688208023306636
46,aec,4-beta,.1973WilsonCowan,FC_subj05,-0.008482026344398298
47,plv,4-beta,.1973WilsonCowan,FC_subj05,0.10053142121921298
48,aec,5-gamma,.1973WilsonCowan,FC_subj05,0.03864520353961181
49,plv,5-gamma,.1973WilsonCowan,FC_subj05,0.035680339524859904
50,aec,1-delta,.1973WilsonCowan,FC_subj06,0.07524875806097456
51,plv,1-delta,.1973WilsonCowan,FC_subj06,0.027727696220175516
52,aec,2-theta,.1973WilsonCowan,FC_subj06,0.02446103901580481
53,plv,2-theta,.1973WilsonCowan,FC_subj06,0.1063931361261432
54,aec,3-alfa,.1973WilsonCowan,FC_subj06,0.04909285723823621
55,plv,3-alfa,.1973WilsonCowan,FC_subj06,0.1871870603821501
