ROIabbr,ROI
V1_L,Primary_Visual_Cortex_L
V2_L,Second_Visual_Area_L
V3_L,Third_Visual_Area_L
V4_L,Fourth_Visual_Area_L
IPS1_L,IntraParietal_Sulcus_Area_1_L
V3A_L,Area_V3A_L
V3B_L,Area_V3B_L
V6_L,Sixth_Visual_Area_L
V6A_L,Area_V6A_L
V7_L,Seventh_Visual_Area_L
FFC_L,Fusiform_Face_Complex_L
PIT_L,Posterior_InferoTemporal_complex_L
V8_L,Eighth_Visual_Area_L
VMV1_L,VentroMedial_Visual_Area_1_L
VMV2_L,VentroMedial_Visual_Area_2_L
VMV3_L,VentroMedial_Visual_Area_3_L
VVC_L,Ventral_Visual_Complex_L
FST_L,Area_FST_L
LO1_L,Area_Lateral_Occipital_1_L
LO2_L,Area_Lateral_Occipital_2_L
LO3_L,Area_Lateral_Occipital_3_L
MST_L,Medial_Superior_Temporal_Area_L
MT_L,Middle_Temporal_Area_L
PH_L,Area_PH_L
V3CD_L,Area_V3CD_L
V4t_L,Area_V4t_L
1_L,Area_1_L
2_L,Area_2_L
3a_L,Area_3a_L
3b_L,Primary_Sensory_Cortex_L
4_L,Primary_Motor_Cortex_L
23c_L,Area_23c_L
24dd_L,Dorsal_Area_24d_L
24dv_L,Ventral_Area_24d_L
5L_L,Area_5L_L
5m_L,Area_5m_L
5mv_L,Area_5m_ventral_L
6ma_L,Area_6m_anterior_L
6mp_L,Area_6mp_L
SCEF_L,Supplementary_and_Cingulate_Eye_Field_L
55b_L,Area_55b_L
6a_L,Area_6_anterior_L
6d_L,Dorsal_area_6_L
6r_L,Rostral_Area_6_L
6v_L,Ventral_Area_6_L
FEF_L,Frontal_Eye_Fields_L
PEF_L,Premotor_Eye_Field_L
43_L,Area_43_L
FOP1_L,Frontal_Opercular_Area_1_L
OP1_L,Area_OP1-SII_L
OP2-3_L,Area_OP2-3-VS_L
OP4_L,Area_OP4-PV_L
52_L,Area_52_L
A1_L,Primary_Auditory_Cortex_L
LBelt_L,Lateral_Belt_Complex_L
MBelt_L,Medial_Belt_Complex_L
PBelt_L,ParaBelt_Complex_L
PFcm_L,Area_PFcm_L
RI_L,RetroInsular_Cortex_L
A4_L,Auditory_4_Complex_L
A5_L,Auditory_5_Complex_L
STGa_L,Area_STGa_L
STSda_L,Area_STSd_anterior_L
STSdp_L,Area_STSd_posterior_L
STSva_L,Area_STSv_anterior_L
STSvp_L,Area_STSv_posterior_L
TA2_L,Area_TA2_L
AAIC_L,Anterior_Agranular_Insula_Complex_L
AVI_L,Anterior_Ventral_Insular_Area_L
FOP2_L,Frontal_Opercular_Area_2_L
FOP3_L,Frontal_Opercular_Area_3_L
FOP4_L,Frontal_Opercular_Area_4_L
FOP5_L,Area_Frontal_Opercular_5_L
Ig_L,Insular_Granular_Complex_L
MI_L,Middle_Insular_Area_L
PI_L,Para-Insular_Area_L
Pir_L,Pirform_Cortex_L
PoI1_L,Area_Posterior_Insular_1_L
PoI2_L,Posterior_Insular_Area_2_L
H_L,Hippocampus_L
PreS_L,PreSubiculum_L
EC_L,Entorhinal_Cortex_L
PeEc_L,Perirhinal_Ectorhinal_Cortex_L
TF_L,Area_TF_L
PHA1_L,ParaHippocampal_Area_1_L
PHA2_L,ParaHippocampal_Area_2_L
PHA3_L,ParaHippocampal_Area_3_L
PHT_L,Area_PHT_L
TE1a_L,Area_TE1_anterior_L
TE1m_L,Area_TE1_Middle_L
TE1p_L,Area_TE1_posterior_L
TE2a_L,Area_TE2_anterior_L
TE2p_L,Area_TE2_posterior_L
TGd_L,Area_TG_dorsal_L
TGv_L,Area_TG_Ventral_L
PSL_L,PeriSylvian_Language_Area_L
STV_L,Superior_Temporal_Visual_Area_L
TPOJ1_L,Area_TemporoParietoOccipital_Junction_1_L
TPOJ2_L,Area_TemporoParietoOccipital_Junction_2_L
TPOJ3_L,Area_TemporoParietoOccipital_Junction_3_L
7AL_L,Lateral_Area_7A_L
7Am_L,Medial_Area_7A_L
7PC_L,Area_7PC_L
7PL_L,Lateral_Area_7P_L
7Pm_L,Medial_Area_7P_L
AIP_L,Anterior_IntraParietal_Area_L
LIPd_L,Area_Lateral_IntraParietal_dorsal_L
LIPv_L,Area_Lateral_IntraParietal_ventral_L
MIP_L,Medial_IntraParietal_Area_L
VIP_L,Ventral_IntraParietal_Complex_L
IP0_L,Area_IntraParietal_0_L
IP1_L,Area_IntraParietal_1_L
IP2_L,Area_IntraParietal_2_L
PF_L,Area_PF_Complex_L
PFm_L,Area_PFm_Complex_L
PFop_L,Area_PF_Opercular_L
PFt_L,Area_PFt_L
PGi_L,Area_PGi_L
PGp_L,Area_PGp_L
PGs_L,Area_PGs_L
23d_L,Area_23d_L
31a_L,Area_31a_L
31pd_L,Area_31pd_L
31pv_L,Area_31p_ventral_L
7m_L,Area_7m_L
d23ab_L,Area_dorsal_23_a+b_L
DVT_L,Dorsal_Transitional_Visual_Area_L
PCV_L,PreCuneus_Visual_Area_L
POS1_L,Parieto-Occipital_Sulcus_Area_1_L
POS2_L,Parieto-Occipital_Sulcus_Area_2_L
ProS_L,ProStriate_Area_L
RSC_L,RetroSplenial_Complex_L
v23ab_L,Area_ventral_23_a+b_L
10r_L,Area_10r_L
10v_L,Area_10v_L
25_L,Area_25_L
33pr_L,Area_33_prime_L
8BM_L,Area_8BM_L
9m_L,Area_9_Middle_L
a24_L,Area_a24_L
a24pr_L,Anterior_24_prime_L
a32pr_L,Area_anterior_32_prime_L
d32_L,Area_dorsal_32_L
p24_L,Area_posterior_24_L
p24pr_L,Area_Posterior_24_prime_L
