G,speed,mS_peak,mS_module,allSignals
0.5,3,0.6,26.580705041924034,"(array([[0.6],
       [0.6],
       [0.6],
       [9. ],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [8.4],
       [8. ],
       [8.4],
       [8.4],
       [8.4],
       [0.6],
       [9. ],
       [8. ],
       [9. ],
       [0.6],
       [0.6],
       [8.4],
       [0.6],
       [0.6],
       [8.2],
       [9. ],
       [8.2],
       [0.6],
       [9. ],
       [9. ],
       [9. ],
       [8.4],
       [8.4],
       [8.2],
       [0.6],
       [8. ],
       [0.6],
       [9. ],
       [9. ],
       [8.4],
       [0.6],
       [9. ],
       [0.6],
       [8.4],
       [8.4],
       [8.4],
       [8.4],
       [9. ],
       [8.4],
       [9. ],
       [8.4],
       [9. ],
       [0.6],
       [9. ],
       [0.6],
       [0.6],
       [8.4],
       [8.4],
       [0.6],
       [9. ],
       [8.4],
       [0.6],
       [9. ],
       [9. ],
       [8.4],
       [0.6],
       [8.4],
       [0.6],
       [0.6]]), array([[ 26.58070504],
       [ 35.90744704],
       [322.85627635],
       [ 22.25948709],
       [521.50707384],
       [  0.98072007],
       [141.5993535 ],
       [420.5181154 ],
       [545.82950383],
       [ 50.25703083],
       [ 47.99054985],
       [ 22.81563375],
       [  3.15986935],
       [ 11.62255365],
       [ 12.58850407],
       [388.75936752],
       [  8.67678758],
       [  2.36311322],
       [ 25.7903386 ],
       [  4.1430849 ],
       [ 12.7763422 ],
       [ 39.46899442],
       [350.80931935],
       [ 51.13287815],
       [326.08185571],
       [ 29.26327271],
       [ 12.82688976],
       [ 33.9894015 ],
       [549.41203156],
       [569.46513439],
       [ 18.72210268],
       [ 26.62978308],
       [ 67.86813789],
       [ 12.83903116],
       [  1.79417817],
       [ 19.71099402],
       [132.02424255],
       [  7.58896908],
       [  0.86459499],
       [  3.7607379 ],
       [  7.63100554],
       [ 32.54411957],
       [  3.6357771 ],
       [  9.43588032],
       [ 12.03510075],
       [  1.11400857],
       [ 12.5977301 ],
       [ 78.06320611],
       [  1.51863435],
       [  5.95647974],
       [  6.54781208],
       [ 27.42116772],
       [  0.94924649],
       [  3.07889332],
       [  1.71371048],
       [ 19.38725482],
       [ 39.63605796],
       [ 53.85061786],
       [ 18.35173232],
       [404.99680835],
       [ 31.33532692],
       [589.21492587],
       [579.714358  ],
       [  9.58864398],
       [  9.07314157],
       [ 15.64400944],
       [  1.87350546]]))"
0.5,6,8.0,29.29806889339698,"(array([[8. ],
       [0.6],
       [8. ],
       [8. ],
       [8. ],
       [0.6],
       [8. ],
       [0.6],
       [8.4],
       [8.4],
       [0.6],
       [8.4],
       [0.6],
       [7.8],
       [8. ],
       [0.6],
       [7.8],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [8.4],
       [0.6],
       [0.6],
       [7.8],
       [0.6],
       [8. ],
       [8. ],
       [8.4],
       [8.4],
       [8.4],
       [0.6],
       [0.6],
       [0.6],
       [8. ],
       [8. ],
       [8.4],
       [0.6],
       [0.6],
       [8.4],
       [8.4],
       [7.8],
       [0.6],
       [8.4],
       [8. ],
       [8.4],
       [8. ],
       [0.6],
       [0.6],
       [8.4],
       [8. ],
       [8. ],
       [8. ],
       [0.6],
       [8. ],
       [0.6],
       [8. ],
       [8.4],
       [8. ],
       [8. ],
       [8. ],
       [8.4],
       [8. ],
       [8. ],
       [0.6],
       [8. ]]), array([[2.92980689e+01],
       [4.68074376e+01],
       [1.85703912e+01],
       [4.90816567e+00],
       [1.05501506e+01],
       [4.79864016e-01],
       [9.89776451e+00],
       [5.72798085e+00],
       [1.19614194e+02],
       [3.99168687e+00],
       [4.64881696e+02],
       [9.43228889e+00],
       [7.35030379e+00],
       [2.13550182e+01],
       [4.74622739e+00],
       [2.47404484e+00],
       [4.16385748e+01],
       [4.07445007e+00],
       [1.20396048e+01],
       [1.28369366e+00],
       [7.66130861e+00],
       [6.07044390e+00],
       [1.26064422e+01],
       [9.24508213e+00],
       [5.14613112e+01],
       [3.38405880e+02],
       [8.71319007e+00],
       [5.94422809e+01],
       [2.79655588e+02],
       [3.93475508e+02],
       [9.00099763e+00],
       [7.55782700e+00],
       [1.13291502e+00],
       [2.57286648e+00],
       [3.29344298e+02],
       [2.28738540e+01],
       [5.32250152e+02],
       [3.25954145e+01],
       [8.17471516e-01],
       [2.60323235e+01],
       [6.17688703e-01],
       [2.64842228e+01],
       [5.94189754e-01],
       [5.70402201e+01],
       [8.65564224e+00],
       [1.29722982e+01],
       [2.12573538e+00],
       [5.94560115e+01],
       [6.17286881e+01],
       [4.51443505e+01],
       [3.85693850e-01],
       [4.34560861e+01],
       [8.31045265e+00],
       [2.01722067e+01],
       [1.03765350e+01],
       [3.74418084e+02],
       [6.38952619e+02],
       [4.71627421e+02],
       [2.08150934e+01],
       [1.48203676e+01],
       [5.73349795e+02],
       [5.19972052e+02],
       [4.63332278e+02],
       [3.73057164e+00],
       [1.75590366e+01],
       [9.26228814e-01],
       [1.62097091e+00]]))"
0.5,9,0.6,29.20913822480081,"(array([[0.6],
       [0.6],
       [8.4],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [8.4],
       [0.6],
       [0.6],
       [0.6],
       [8.4],
       [0.6],
       [8.4],
       [0.6],
       [8.2],
       [0.8],
       [0.6],
       [0.6],
       [0.6],
       [8.4],
       [8.2],
       [8.4],
       [8.4],
       [8.4],
       [8.4],
       [0.6],
       [0.8],
       [0.6],
       [0.6],
       [0.6],
       [8. ],
       [8.4],
       [8. ],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [8. ],
       [8. ],
       [0.8],
       [0.6],
       [8.4],
       [0.6],
       [8.4],
       [8. ],
       [8. ],
       [0.6],
       [8. ],
       [8.4],
       [8. ],
       [0.6],
       [0.6],
       [8.4],
       [8. ],
       [0.6],
       [0.6],
       [8.4],
       [8.4],
       [0.6],
       [8. ],
       [0.6],
       [8. ],
       [0.6]]), array([[2.92091382e+01],
       [1.28331948e+00],
       [2.66812753e+01],
       [3.92920730e+02],
       [4.48801379e-01],
       [5.37583750e+00],
       [3.47973522e+00],
       [2.10130928e+01],
       [2.22075027e+00],
       [6.14448706e+01],
       [6.48151662e-01],
       [5.93286471e+00],
       [4.67580099e+02],
       [3.90118498e+00],
       [1.07729589e+01],
       [2.29369279e+00],
       [6.89795249e+00],
       [4.21065522e+00],
       [1.39202876e+01],
       [4.05787003e+02],
       [5.12033276e+01],
       [1.66589493e+00],
       [9.34714683e-01],
       [1.00257448e+01],
       [6.22405218e+01],
       [2.71483344e+00],
       [1.67645590e+01],
       [2.34113941e+01],
       [3.62248833e+02],
       [3.61270336e+01],
       [1.56088177e+01],
       [1.11911073e+00],
       [1.09317844e+00],
       [1.23782856e-01],
       [1.03576994e+00],
       [1.88452414e+01],
       [4.82533727e+02],
       [1.43253719e+01],
       [2.68815980e-01],
       [3.99722204e+00],
       [4.18966805e+00],
       [2.25234725e+01],
       [3.21231929e+00],
       [8.14899818e-01],
       [5.04317051e+00],
       [7.93767846e+00],
       [8.40005546e+00],
       [1.07865062e+01],
       [8.37269257e+00],
       [2.88411056e+01],
       [2.93753853e+00],
       [3.69448136e+01],
       [2.51330158e+01],
       [6.06653678e+01],
       [5.79228516e+01],
       [5.02037130e+02],
       [7.72541438e+00],
       [5.32332886e+02],
       [4.89313529e+00],
       [5.48003439e+02],
       [3.39783196e+02],
       [3.59614321e+02],
       [2.36349033e+02],
       [2.85863140e+00],
       [1.71135300e+02],
       [7.07890293e-01],
       [6.77857154e+01]]))"
0.75,3,0.6,42.57003420673987,"(array([[0.6],
       [8. ],
       [8.4],
       [8.2],
       [0.6],
       [0.6],
       [9.6],
       [7.8],
       [7.8],
       [7.8],
       [0.6],
       [7.8],
       [8. ],
       [7.8],
       [0.6],
       [8. ],
       [8.2],
       [0.6],
       [8.2],
       [0.6],
       [9.6],
       [7.8],
       [8.4],
       [8.2],
       [8.4],
       [0.6],
       [9.6],
       [9.6],
       [9.6],
       [8.6],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8.2],
       [8. ],
       [0.6],
       [0.6],
       [0.6],
       [7.8],
       [8.6],
       [8.2],
       [8.2],
       [0.6],
       [8.6],
       [7.8],
       [8.6],
       [7.8],
       [8.2],
       [9.6],
       [0.6],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [0.8],
       [9.6],
       [8.4],
       [8.6],
       [7.8],
       [9.6],
       [9.6],
       [8.6],
       [8.2],
       [8.2],
       [7.8],
       [0.6]]), array([[4.25700342e+01],
       [1.25071912e+02],
       [3.65616315e+02],
       [2.93008813e+02],
       [1.42275405e+01],
       [6.77743273e+00],
       [1.93507001e+00],
       [5.75048848e+02],
       [1.57868358e+02],
       [5.33000457e+02],
       [9.72929829e+00],
       [4.21541372e+01],
       [6.99432571e+00],
       [2.46824452e+01],
       [2.93855202e+02],
       [3.57209265e+02],
       [1.47607160e+01],
       [1.30144337e+02],
       [2.32885107e+01],
       [1.61187935e+01],
       [1.42305271e+01],
       [3.71023643e+00],
       [1.79178405e+02],
       [3.71328587e+02],
       [3.66643226e+02],
       [2.61486952e+02],
       [2.24219767e+01],
       [2.21479497e+02],
       [5.58515094e+02],
       [1.05561514e+02],
       [4.16309385e+02],
       [2.06806925e+01],
       [4.75603453e+00],
       [1.43004248e+01],
       [6.80947172e+00],
       [4.20313229e+02],
       [5.36278204e+02],
       [2.40074461e+01],
       [3.71632013e-01],
       [8.30668131e+00],
       [5.11507569e+00],
       [3.69236651e+01],
       [9.52071666e+00],
       [1.33099978e+01],
       [1.09876928e+01],
       [1.06251086e+01],
       [2.34402425e+00],
       [4.50898813e+02],
       [7.69559434e+00],
       [6.75954014e+00],
       [3.45720137e+00],
       [6.68221420e+02],
       [1.29347360e+00],
       [4.61910621e+01],
       [2.01665731e+01],
       [4.84171166e+02],
       [1.17168951e+01],
       [3.97653534e+01],
       [2.40071148e+01],
       [1.50537189e+01],
       [1.85636149e+02],
       [5.34225070e+02],
       [4.87716587e+02],
       [1.62996910e+01],
       [4.00473504e+02],
       [4.67060234e+00],
       [6.05530039e+01]]))"
0.75,6,0.6,64.8993977402861,"(array([[0.6],
       [8.4],
       [0.6],
       [8.6],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [0.8],
       [8.6],
       [8.2],
       [0.8],
       [0.6],
       [0.6],
       [0.6],
       [8.4],
       [0.6],
       [0.6],
       [8.4],
       [8.2],
       [8.4],
       [0.6],
       [8.4],
       [8.6],
       [8.6],
       [8.2],
       [0.6],
       [8.6],
       [8.6],
       [8.6],
       [8.4],
       [8.4],
       [8.4],
       [8.4],
       [8.2],
       [0.6],
       [8.8],
       [0.6],
       [0.8],
       [8.8],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [0.6],
       [0.6],
       [8.8],
       [8.2],
       [8.6],
       [8.2],
       [8.8],
       [0.6],
       [8.4],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [8.2],
       [8.6],
       [8.4],
       [8.8],
       [0.6],
       [8.2],
       [0.6],
       [8.2],
       [0.6]]), array([[6.48993977e+01],
       [9.92224554e+01],
       [4.39124145e+02],
       [3.15193641e+01],
       [1.50505311e+01],
       [3.47852065e+00],
       [8.54836490e+00],
       [1.13990332e+01],
       [4.06983286e+02],
       [6.89895064e+00],
       [3.78162127e+01],
       [8.86796114e+01],
       [6.96763576e+00],
       [4.80013715e+02],
       [5.02002949e+02],
       [2.74720163e+01],
       [3.29895934e+02],
       [2.93508668e+01],
       [6.87596572e+01],
       [1.38314073e+01],
       [4.89895515e+00],
       [9.11017367e+01],
       [6.81813101e+01],
       [1.19153465e+01],
       [3.32318329e+02],
       [1.64840928e+01],
       [1.78171197e+02],
       [1.49373953e+02],
       [2.88746340e+02],
       [6.07745894e+01],
       [3.65892577e+02],
       [3.25524219e+02],
       [2.16614231e+01],
       [8.37464955e+01],
       [2.36271918e+01],
       [4.10668188e+01],
       [3.28893501e+01],
       [4.74695252e+01],
       [4.72793808e-01],
       [5.69040588e+00],
       [2.10729035e+00],
       [1.98332427e+01],
       [2.54524529e+01],
       [2.53571972e+01],
       [8.01188920e+00],
       [4.11333739e+02],
       [4.03297761e+01],
       [1.10219419e+01],
       [4.01921804e+02],
       [6.88562829e+00],
       [4.87614947e+00],
       [1.38053251e+01],
       [4.53222952e+02],
       [7.70985680e+01],
       [7.89814285e+00],
       [2.01876045e+01],
       [7.48971272e+01],
       [2.16059642e+02],
       [5.83296673e+02],
       [1.18823040e+01],
       [3.70159912e+02],
       [2.70455406e+02],
       [1.34164426e+02],
       [2.64115472e+01],
       [6.04873412e+02],
       [1.07173738e+00],
       [6.08390979e+01]]))"
0.75,9,8.2,36.178769039307134,"(array([[8.2],
       [8.2],
       [0.6],
       [1. ],
       [8.2],
       [0.6],
       [0.6],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [0.8],
       [8.2],
       [0.8],
       [8.2],
       [8.2],
       [0.6],
       [8.2],
       [8.2],
       [8.2],
       [1. ],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [8.2],
       [8.2],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [0.6],
       [8.2],
       [0.6],
       [8.2],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [0.6]]), array([[3.61787690e+01],
       [3.12232047e+01],
       [6.21412867e+00],
       [5.06309416e+01],
       [6.10823454e+01],
       [7.06503065e+00],
       [1.60795771e+00],
       [6.84539720e+01],
       [5.19070030e+02],
       [3.87870644e+01],
       [5.03150964e+01],
       [4.31971181e+01],
       [2.29876209e+01],
       [4.10278479e+01],
       [5.24692043e+00],
       [4.92328646e+02],
       [3.65061927e+00],
       [1.00705243e+01],
       [3.83545646e+02],
       [2.26026292e+00],
       [5.96002132e+00],
       [6.93323115e+00],
       [1.75066276e+02],
       [1.42543352e+01],
       [8.59502187e+01],
       [2.96995388e+01],
       [2.82028589e+00],
       [2.38620706e+01],
       [5.42495627e+00],
       [5.22379593e+02],
       [4.29276093e+01],
       [2.78084983e+02],
       [6.49651591e+00],
       [2.33471381e+00],
       [1.01869457e+00],
       [5.37766137e+00],
       [1.43014682e+02],
       [1.40023062e+01],
       [3.75023881e+00],
       [4.99816202e+00],
       [9.44149035e-01],
       [2.77578464e+01],
       [5.14152790e+00],
       [4.59093616e+01],
       [6.44074012e+00],
       [1.03786152e+01],
       [7.72017586e+00],
       [5.92912782e+00],
       [1.45516879e+00],
       [3.62797111e+01],
       [3.29012284e-01],
       [1.68615512e+01],
       [4.31198327e+02],
       [7.43512043e+00],
       [1.80570132e+00],
       [3.18198356e+01],
       [1.75734125e+00],
       [6.14637949e+02],
       [1.40957233e+01],
       [7.28979394e+00],
       [5.80954391e+01],
       [6.31786335e+00],
       [1.14095665e+02],
       [5.84966209e+00],
       [4.77265648e+01],
       [2.61715074e+00],
       [4.66010250e+02]]))"
1.0,3,0.6,45.20036749502445,"(array([[0.6],
       [8.4],
       [0.6],
       [7.8],
       [8. ],
       [8.4],
       [8. ],
       [8.4],
       [9. ],
       [8.4],
       [0.6],
       [9. ],
       [8. ],
       [8. ],
       [8. ],
       [9. ],
       [0.6],
       [8.4],
       [7.8],
       [7.8],
       [7.8],
       [8. ],
       [8.6],
       [0.6],
       [7.8],
       [8.6],
       [0.6],
       [7.8],
       [7.8],
       [8.6],
       [8.4],
       [8.6],
       [8.4],
       [8.4],
       [8.6],
       [0.6],
       [0.6],
       [8.6],
       [8.8],
       [0.6],
       [8.2],
       [8.8],
       [8.2],
       [8.6],
       [8.6],
       [0.6],
       [0.6],
       [8. ],
       [8.8],
       [8.2],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [0.6],
       [8.2],
       [0.6],
       [0.6],
       [8.6],
       [0.6],
       [0.6],
       [0.6],
       [8.6],
       [8.6],
       [8.2],
       [8.8],
       [8.2]]), array([[4.52003675e+01],
       [1.25755641e+02],
       [1.15583060e+01],
       [4.21039687e+02],
       [2.55538473e+01],
       [2.93637665e+01],
       [1.50736460e+01],
       [3.31293207e+02],
       [3.28286033e+02],
       [3.58928581e+01],
       [2.76573435e+01],
       [3.33960480e+02],
       [4.05740008e+02],
       [4.07524916e+01],
       [1.42744745e+01],
       [2.93318116e+02],
       [1.56955556e+01],
       [1.11477419e+01],
       [4.55060210e+02],
       [3.11797660e+01],
       [4.71366341e+02],
       [4.89707806e+02],
       [3.91248852e+02],
       [6.60894084e+02],
       [2.46632477e+02],
       [1.79262566e+02],
       [1.93906526e+01],
       [3.99940936e+02],
       [3.18902924e+02],
       [4.13318410e+02],
       [3.57077810e+02],
       [1.67446174e+02],
       [2.74408962e+01],
       [1.32846287e+01],
       [1.67256988e+01],
       [4.47389613e+00],
       [3.65650720e+02],
       [5.43696916e+01],
       [4.26808730e-01],
       [5.86740782e+00],
       [2.21527396e+01],
       [3.87023939e+02],
       [3.95741251e+02],
       [4.68094183e+01],
       [1.03296711e+02],
       [1.39501441e+02],
       [3.63976056e+01],
       [1.14528374e+01],
       [3.32739925e+02],
       [1.33754621e+01],
       [2.44129054e+00],
       [3.07855410e+01],
       [1.06404874e+01],
       [2.90345167e+02],
       [6.23679968e+01],
       [4.44480972e+02],
       [1.14827763e+01],
       [4.84192272e+02],
       [1.43570681e+02],
       [6.20283226e+00],
       [5.96936686e+02],
       [2.68943969e+02],
       [3.90516242e+02],
       [1.48141071e+02],
       [4.32565032e+02],
       [1.88733359e+00],
       [9.76923640e+00]]))"
1.0,6,8.0,136.65249667386462,"(array([[8. ],
       [0.6],
       [8. ],
       [0.6],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [9.4],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [0.6],
       [8. ],
       [0.6],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8.8],
       [0.6],
       [9.4],
       [8. ],
       [9.2],
       [8. ],
       [0.6],
       [8.2],
       [8. ],
       [8.6],
       [8. ],
       [0.6],
       [8.2],
       [8. ],
       [9.2],
       [8. ],
       [8. ],
       [8.6],
       [8.2],
       [8. ],
       [8.2],
       [8.2],
       [8. ],
       [8. ],
       [8. ],
       [8.2],
       [8.8],
       [8. ],
       [8. ],
       [8. ],
       [8. ],
       [8.4],
       [8. ],
       [8.8],
       [8.8],
       [9.4],
       [8.2],
       [8.2],
       [0.6],
       [8.2]]), array([[136.65249667],
       [ 11.33071944],
       [ 51.72712253],
       [725.25667716],
       [352.6784402 ],
       [ 48.89593902],
       [ 18.17101405],
       [534.13116709],
       [287.74202001],
       [515.76149172],
       [526.17336419],
       [289.26226922],
       [ 77.11095823],
       [133.20742699],
       [378.80325663],
       [ 53.08470045],
       [580.1505132 ],
       [113.79684942],
       [146.6781401 ],
       [ 10.59495102],
       [ 36.65967019],
       [484.61382662],
       [ 26.33684571],
       [ 92.56961476],
       [188.93408385],
       [356.8439389 ],
       [353.86767106],
       [ 40.59292621],
       [403.8612771 ],
       [259.16199208],
       [ 71.59688257],
       [ 98.35609206],
       [  2.69004247],
       [ 68.60557193],
       [ 42.42215996],
       [225.28461046],
       [ 82.83952937],
       [ 39.16096479],
       [ 11.64944445],
       [ 13.61863071],
       [ 27.51601215],
       [317.54459067],
       [328.93948958],
       [527.45590091],
       [293.59157541],
       [ 20.83112122],
       [375.91293317],
       [361.36167134],
       [338.01836623],
       [543.33861746],
       [  7.47855437],
       [134.43281478],
       [ 10.47947099],
       [ 16.39313339],
       [ 30.68297918],
       [327.11454627],
       [585.06233813],
       [257.95201239],
       [315.81490573],
       [ 41.35865083],
       [281.22455606],
       [185.13966742],
       [263.879734  ],
       [372.72170817],
       [329.41702821],
       [491.61199163],
       [ 18.90075349]]))"
1.0,9,8.2,209.45801021528277,"(array([[8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [0.6],
       [8.2],
       [8.2],
       [8.2],
       [0.6],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8. ],
       [8.2],
       [8.2],
       [8.2],
       [1. ],
       [8.2],
       [1. ],
       [8.2],
       [8. ],
       [0.6],
       [8.2],
       [8.2],
       [0.6],
       [8.2],
       [8. ],
       [8.2],
       [1. ],
       [8.2],
       [8.2],
       [0.6],
       [8.2],
       [8.2],
       [0.6],
       [8.2],
       [0.6],
       [8.2],
       [8.2],
       [8.2],
       [8.2],
       [8. ],
       [8.2],
       [8. ],
       [8. ]]), array([[209.45801022],
       [255.75964656],
       [600.91106749],
       [464.99128587],
       [ 27.4166376 ],
       [ 25.55054254],
       [ 44.61161644],
       [ 14.75881149],
       [557.86019845],
       [279.63446281],
       [ 34.80354082],
       [270.24985366],
       [536.34462051],
       [ 71.75670258],
       [553.41102792],
       [595.05616537],
       [635.75029593],
       [  3.66902643],
       [605.90250585],
       [ 46.93727865],
       [607.2435428 ],
       [ 13.08905579],
       [613.39420136],
       [625.96555474],
       [589.78265255],
       [459.01801559],
       [581.27191469],
       [555.01427957],
       [533.33870977],
       [447.00263816],
       [177.05990385],
       [561.30140785],
       [ 13.60573386],
       [ 17.81742216],
       [416.76914727],
       [ 77.35207831],
       [597.26883821],
       [ 67.45150798],
       [  1.17497727],
       [121.23493012],
       [276.0259556 ],
       [370.86311724],
       [275.09432323],
       [153.16754251],
       [ 41.0605371 ],
       [130.42780772],
       [ 11.85105323],
       [ 58.93648757],
       [459.84685407],
       [254.18412518],
       [  4.31694866],
       [ 66.71133824],
       [ 20.27170658],
       [610.66574073],
       [  7.11208513],
       [ 67.35026412],
       [635.94841419],
       [326.76405988],
       [255.88508042],
       [258.32568058],
       [587.64704925],
       [530.60242283],
       [421.37766562],
       [442.95959771],
       [360.80382841],
       [  8.66905915],
       [ 21.13931852]]))"
1.25,3,8.2,39.458848497255765,"(array([[ 8.2],
       [ 8.8],
       [ 9. ],
       [ 9.4],
       [ 8.2],
       [ 8.2],
       [ 0.6],
       [ 9.2],
       [ 9.6],
       [ 9. ],
       [ 8.2],
       [ 9.2],
       [ 8. ],
       [ 8.2],
       [ 8. ],
       [ 9.6],
       [ 9.2],
       [ 8.2],
       [ 8.4],
       [ 8. ],
       [ 8.4],
       [ 8.2],
       [ 9.2],
       [ 9.2],
       [ 9.2],
       [ 9.2],
       [ 8. ],
       [ 9.4],
       [11. ],
       [ 9.2],
       [ 9.2],
       [ 9.6],
       [ 8. ],
       [ 8.8],
       [ 8.8],
       [ 9. ],
       [ 9. ],
       [ 8.8],
       [ 8.2],
       [ 0.6],
       [ 8.8],
       [ 9. ],
       [ 9. ],
       [ 8.2],
       [ 8.8],
       [ 8. ],
       [ 8.2],
       [ 9.4],
       [ 9. ],
       [ 8.4],
       [ 8.2],
       [ 9. ],
       [ 8. ],
       [ 8.4],
       [ 8.2],
       [ 9. ],
       [ 8.4],
       [ 9.4],
       [ 9.2],
       [ 8. ],
       [ 9.4],
       [11. ],
       [ 9.2],
       [ 9. ],
       [ 9. ],
       [ 9. ],
       [ 8.6]]), array([[ 39.4588485 ],
       [ 31.87375601],
       [487.80589809],
       [344.01429354],
       [352.66043707],
       [  4.3485982 ],
       [ 17.71802809],
       [116.66278249],
       [339.63732139],
       [294.5139856 ],
       [416.56570524],
       [560.92017495],
       [474.55732427],
       [304.60150529],
       [191.2556024 ],
       [257.24055031],
       [109.63257979],
       [  7.05288948],
       [324.75923839],
       [112.47901048],
       [ 27.63422955],
       [354.64311051],
       [367.85238265],
       [ 13.7531589 ],
       [287.54695655],
       [417.17780135],
       [489.81546946],
       [240.94785445],
       [257.93100868],
       [363.28921652],
       [372.80268785],
       [340.47933637],
       [ 40.12735687],
       [ 17.96644866],
       [ 18.57633471],
       [ 86.56186778],
       [464.66283453],
       [306.06412695],
       [  1.26531145],
       [ 21.83654965],
       [ 36.79482188],
       [350.44839685],
       [149.73815202],
       [106.38207182],
       [476.57426957],
       [ 32.42657315],
       [432.66582082],
       [ 82.26655621],
       [375.22615321],
       [495.77286041],
       [  7.50752527],
       [141.92597243],
       [476.62764885],
       [358.27713307],
       [512.05895905],
       [317.33553369],
       [ 27.23161657],
       [244.8666548 ],
       [515.869568  ],
       [ 84.47251696],
       [363.27948484],
       [241.73713755],
       [409.45827047],
       [215.50415524],
       [449.75362998],
       [  4.13340273],
       [ 35.81766348]]))"
