G,speed,plvD_r,pliD_r,aecD_r,plvT_r,pliT_r,aecT_r,plvA_r,pliA_r,aecA_r,plvB_r,pliB_r,aecB_r,plvG_r,pliG_r,aecG_r
0.25,3,-0.016215148432616885,-0.02331404621762052,-0.04384776575172047,0.01430796353822916,0.006360071993913961,0.02294217670478528,0.017140494521753622,-0.022716367841271505,0.047478088184462516,-0.017236960236594465,-0.010698806486235567,-0.04288289059570958,-0.0031516540816603294,-0.015312492673819754,-0.029864943968493294
0.25,6,-0.007586853850435044,-0.02604116023655344,0.04603649577981123,-0.003387031783136759,0.003070625388598026,0.004256056739788703,-0.01655508547053553,0.02457911537946242,-0.007311385063356699,-0.02161045729586016,0.0039106863539596064,0.007660158514308683,0.001824531321836283,0.0098690351170677,-0.008273530684298692
0.3,3,-0.0015347978597287375,0.03526689245633366,0.016704788751185314,0.014412837196117393,0.024716052263006365,-0.013419990988409118,-0.016659834545376912,-0.02164478496643891,-0.016718043298799404,-0.015454280143863679,-0.0015269762958849866,-0.04878887948348539,0.019568751255967486,0.0005051265799117515,0.006723661559528481
0.3,6,-0.009381378335823214,-0.007989330416823356,0.013282981359491845,0.0068978821370923715,0.040196685396941746,-0.013989786742707108,-0.02475767294491315,0.0023971315423216904,-0.058393993732072755,-0.026387626302196987,0.017596917307176226,0.00047998710406304423,-0.0007410772041168783,0.024348754394288446,-0.027989405901717546
0.35,3,-0.014220497590180717,-0.03725006047206978,-0.05699464940429715,0.02120024097387659,0.02383500337257872,-0.0018228521025573615,0.016564119134177106,0.049395327027734234,-0.03290280610488537,-0.024172848055484464,-0.047909639713175606,-0.008259650857508804,-0.006900265474583504,0.012367782490572958,-0.006611602819717751
0.35,6,-0.003001611265848603,-0.03912266342358247,-0.026867271557996574,0.014735276779433926,-0.024160500904481644,0.016842637122116734,0.023740342325753793,0.011822380451287745,-0.015753462789987155,0.05482510776562321,-0.02039920470732791,-0.014910672409238442,0.007441354641031971,-0.01612664822804249,0.028504148672157573
0.4,3,-0.037460796068082496,0.007416714180381884,0.010889187088017302,-0.00479628121416949,-0.015715663635550194,-0.03816493742306853,-0.03749235674753342,-0.003108409883458562,0.005044272143883446,-0.03683891785678023,0.016396663513682228,-0.020914032810048423,0.015724427834338733,0.02284183447536498,-0.014798220927673276
0.4,6,-0.04577555480464913,0.004390786565723767,0.014300052273377703,-0.0387121668708016,0.00020279442028829682,-0.017293516341936523,0.00043411907121342893,-0.017293154045614902,-0.025482318325307382,-0.0016705261184209875,0.023548648506235385,-0.03693878454446556,-0.005815516173807281,-0.01039224013932557,0.012393636094915837
0.45,3,-0.0026669148643119218,-0.008130790505600904,0.02670603506767099,-0.008317764121368794,-0.007226263832424446,-0.0089540721195181,0.00773514361448005,-0.001430285090513502,0.007439844769741131,-0.03281816398576164,-0.011497603976606454,-0.03185271934763825,-0.004366569254078966,-0.040314674762322485,0.024046700926489032
0.45,6,0.0031664344166375895,-0.008470683103401072,-0.03572262744752643,0.04502610503359122,0.014758852928925053,0.03012818947079462,0.024109673048766263,0.01179407489648115,0.027071440790820966,-0.009766193011388024,-0.02633460054672568,0.011580897014615944,0.024495883424857142,-0.015514844286839717,-0.03178884872882224
0.5,3,-0.004713487585234855,-0.018347739710546596,-0.010327767401247733,0.036335691627835495,0.008985506728878254,0.003794627609072933,0.012554386464556738,-0.0066643278606639865,0.02852101192835765,0.04618400322984854,-0.02872513112253611,-0.036409412410224634,0.00027860327357112315,0.049667223490535116,-0.01211217813700354
0.5,6,0.015916875083744834,-0.00732542472932325,-0.007442720570066505,0.02719442968320667,0.005219677521934247,-0.03871814334954825,-0.0016843869200198589,-0.01096950133393176,-0.01866063806503953,-0.011282175011963278,0.02497300552400299,-0.014507763998231997,-0.04649925960938023,-0.015178785833767517,-0.009024190992032442
0.55,3,0.007248653323643996,-0.014540778664567815,-0.020149800565201402,-0.021224943783410662,-0.018962569269333436,0.021299620246770293,0.03542891153146192,-0.03423263311635393,-0.03899982864505302,-0.010999981777621858,0.004757650938624221,-0.007732503432217312,-0.02234593133838697,-0.018769227731198816,0.0007277433544817494
0.55,6,0.016766676889792918,-0.030913131278286266,0.026178640794520865,0.03406220433624113,0.013224617126561979,-0.05581539390906605,-0.0006984967337902269,-0.018567952731776156,0.033039434440544815,-0.006832125822444514,-0.013458431766304443,0.014465693696494869,0.014582637515129627,0.02176933680604297,0.016309813803533975
