G,speed,mS_peak,mS_module,allSignals
0.25,3,4.0,27.08273819920777,"(array([[ 4.        ],
       [ 3.77777778],
       [ 8.66666667],
       [ 5.33333333],
       [ 2.88888889],
       [ 4.44444444],
       [ 7.11111111],
       [ 1.33333333],
       [10.88888889],
       [ 2.22222222],
       [ 3.11111111],
       [ 2.44444444],
       [ 1.77777778],
       [ 5.55555556],
       [ 6.44444444],
       [ 0.66666667],
       [ 4.44444444],
       [ 1.55555556],
       [ 6.88888889],
       [ 4.88888889],
       [ 3.55555556],
       [ 1.55555556],
       [ 1.77777778],
       [ 2.22222222],
       [ 2.88888889],
       [ 2.88888889],
       [ 1.77777778],
       [ 0.66666667],
       [12.22222222],
       [ 8.22222222],
       [ 4.88888889],
       [ 1.11111111],
       [ 0.66666667],
       [ 3.33333333],
       [ 1.55555556],
       [ 5.55555556],
       [12.22222222],
       [ 5.77777778],
       [ 1.33333333],
       [ 3.33333333],
       [ 1.55555556],
       [ 4.66666667],
       [ 2.88888889],
       [ 0.66666667],
       [ 3.33333333],
       [ 8.88888889],
       [ 0.88888889],
       [10.88888889],
       [ 3.33333333],
       [ 6.44444444],
       [ 0.66666667],
       [ 1.77777778],
       [ 1.77777778],
       [ 2.        ],
       [ 6.88888889],
       [ 7.33333333],
       [ 5.11111111],
       [ 5.55555556],
       [ 2.22222222],
       [ 2.66666667],
       [ 2.88888889],
       [ 4.22222222],
       [ 1.55555556],
       [ 0.66666667],
       [11.55555556],
       [ 0.88888889],
       [ 2.        ]]), array([[ 27.0827382 ],
       [191.15493137],
       [192.88892415],
       [182.54006664],
       [176.93727963],
       [168.91317047],
       [152.49748686],
       [229.21640303],
       [164.09818435],
       [273.88727514],
       [211.57841309],
       [180.33117004],
       [224.84010796],
       [252.61967699],
       [229.59612129],
       [186.61199138],
       [233.15394289],
       [175.853169  ],
       [181.17642792],
       [194.47269658],
       [204.67077581],
       [256.32547998],
       [192.31221603],
       [216.04123991],
       [185.59966856],
       [185.93899264],
       [217.09356152],
       [186.58631638],
       [209.51025567],
       [182.89907208],
       [183.95938497],
       [196.14605616],
       [176.27272803],
       [172.95127863],
       [195.45623953],
       [187.9697483 ],
       [164.8511191 ],
       [166.61003169],
       [218.3040845 ],
       [236.11284094],
       [195.7846912 ],
       [226.74281795],
       [239.69345639],
       [229.96241298],
       [179.77771858],
       [188.81200055],
       [180.72341725],
       [183.26858683],
       [211.15778337],
       [231.34925635],
       [184.45991764],
       [208.75754474],
       [193.63096351],
       [162.0566601 ],
       [222.42845446],
       [199.32807557],
       [163.63280518],
       [182.38277294],
       [211.4232319 ],
       [180.52191479],
       [191.0474436 ],
       [231.38378167],
       [213.73142506],
       [182.99706306],
       [164.71687168],
       [213.00531882],
       [207.28620505]]))"
0.25,6,1.1111111111111112,27.896347620122853,"(array([[ 1.11111111],
       [ 5.77777778],
       [ 4.66666667],
       [ 2.88888889],
       [ 2.22222222],
       [ 3.33333333],
       [ 5.55555556],
       [ 0.88888889],
       [ 2.22222222],
       [ 2.66666667],
       [ 2.44444444],
       [ 2.        ],
       [ 1.55555556],
       [ 2.22222222],
       [ 0.88888889],
       [ 3.33333333],
       [10.44444444],
       [ 4.22222222],
       [ 7.77777778],
       [ 1.11111111],
       [ 8.        ],
       [ 1.77777778],
       [ 8.66666667],
       [ 1.11111111],
       [ 7.77777778],
       [ 6.22222222],
       [ 6.        ],
       [12.66666667],
       [ 5.33333333],
       [ 0.66666667],
       [ 2.        ],
       [ 2.        ],
       [ 1.33333333],
       [ 2.66666667],
       [ 6.22222222],
       [ 4.66666667],
       [ 3.55555556],
       [10.22222222],
       [ 6.66666667],
       [ 1.11111111],
       [ 2.44444444],
       [ 3.33333333],
       [ 4.        ],
       [ 1.55555556],
       [ 4.44444444],
       [ 2.88888889],
       [ 2.44444444],
       [ 1.11111111],
       [ 3.11111111],
       [ 4.        ],
       [ 4.        ],
       [ 2.44444444],
       [ 5.55555556],
       [ 4.22222222],
       [ 1.33333333],
       [ 5.11111111],
       [ 5.33333333],
       [ 2.22222222],
       [ 2.22222222],
       [ 6.22222222],
       [ 3.55555556],
       [ 2.        ],
       [ 2.66666667],
       [ 2.66666667],
       [ 1.55555556],
       [ 2.44444444],
       [ 4.        ]]), array([[ 27.89634762],
       [180.50939074],
       [209.25591394],
       [241.05536589],
       [184.27776899],
       [214.76167418],
       [154.50195646],
       [206.1345795 ],
       [205.324641  ],
       [184.0839422 ],
       [199.75616301],
       [198.92113313],
       [214.69393516],
       [154.69162674],
       [251.81838157],
       [229.39212293],
       [187.61902222],
       [185.68734267],
       [179.84864254],
       [193.28469057],
       [215.27394278],
       [195.09685373],
       [187.85490362],
       [216.31870481],
       [171.96982875],
       [191.71921396],
       [189.95882783],
       [220.231083  ],
       [165.73593683],
       [231.48219561],
       [218.10157152],
       [168.52148761],
       [187.70568467],
       [180.87052577],
       [163.54412031],
       [200.24248776],
       [204.30499704],
       [189.34489824],
       [183.67299201],
       [169.06777564],
       [278.54681366],
       [208.8792714 ],
       [187.33490867],
       [199.46059462],
       [189.65374328],
       [212.62664205],
       [233.27273686],
       [195.77353969],
       [173.23325936],
       [200.9528007 ],
       [198.65445925],
       [197.32702749],
       [200.00301808],
       [216.25131889],
       [229.50474343],
       [178.67789708],
       [196.49081584],
       [203.98421512],
       [199.21489026],
       [179.54110374],
       [180.1359646 ],
       [224.88308974],
       [187.94495224],
       [207.97018058],
       [188.1022186 ],
       [189.18270654],
       [244.61781995]]))"
0.3,3,0.8888888888888888,19.594587187627262,"(array([[ 0.88888889],
       [ 8.88888889],
       [ 2.        ],
       [ 2.44444444],
       [ 4.22222222],
       [ 4.        ],
       [ 5.11111111],
       [ 1.33333333],
       [ 9.77777778],
       [ 1.77777778],
       [ 8.        ],
       [ 0.66666667],
       [ 5.33333333],
       [ 2.66666667],
       [ 8.66666667],
       [ 2.44444444],
       [ 2.66666667],
       [ 1.77777778],
       [ 0.88888889],
       [ 2.22222222],
       [10.88888889],
       [ 5.11111111],
       [10.66666667],
       [ 4.88888889],
       [ 1.33333333],
       [ 2.        ],
       [ 1.55555556],
       [ 4.        ],
       [ 0.66666667],
       [ 0.88888889],
       [ 3.77777778],
       [ 5.77777778],
       [ 4.44444444],
       [ 3.11111111],
       [ 3.77777778],
       [ 1.11111111],
       [ 2.22222222],
       [ 4.44444444],
       [ 4.        ],
       [ 3.33333333],
       [ 0.88888889],
       [ 4.44444444],
       [ 1.11111111],
       [ 3.55555556],
       [ 2.66666667],
       [ 7.33333333],
       [ 5.77777778],
       [ 0.66666667],
       [ 2.        ],
       [ 0.66666667],
       [ 1.33333333],
       [ 7.11111111],
       [ 3.77777778],
       [ 2.44444444],
       [ 7.11111111],
       [ 2.88888889],
       [ 4.66666667],
       [ 1.11111111],
       [ 2.66666667],
       [10.88888889],
       [ 2.22222222],
       [ 3.11111111],
       [ 2.88888889],
       [ 4.        ],
       [ 4.        ],
       [ 0.66666667],
       [ 2.44444444]]), array([[ 19.59458719],
       [171.3767755 ],
       [210.00993834],
       [197.08471537],
       [182.13465057],
       [210.05108386],
       [195.1878243 ],
       [178.0338223 ],
       [175.13666313],
       [219.16278379],
       [198.99351803],
       [220.46758724],
       [181.7363476 ],
       [219.59731319],
       [188.69722992],
       [225.86979233],
       [185.79539316],
       [276.97916066],
       [193.02142229],
       [202.5809926 ],
       [186.92925533],
       [183.45162371],
       [167.37233131],
       [205.02204921],
       [223.31753038],
       [222.00589167],
       [198.2447438 ],
       [228.89027068],
       [174.45251508],
       [191.60334939],
       [194.38611729],
       [188.79547205],
       [246.29704859],
       [165.23709321],
       [215.32723223],
       [253.39776588],
       [196.76418864],
       [197.36200351],
       [159.01306163],
       [195.07239111],
       [247.56480606],
       [180.37797152],
       [193.66644361],
       [171.26130035],
       [272.42686094],
       [173.38729456],
       [199.93586921],
       [187.20546967],
       [219.13620067],
       [208.85291003],
       [176.23753102],
       [190.48662942],
       [225.31171874],
       [170.61584181],
       [205.77369758],
       [224.70466347],
       [162.86378166],
       [162.20473173],
       [236.67425191],
       [221.20334802],
       [186.88558211],
       [240.04182055],
       [220.94014102],
       [167.26471957],
       [214.22532076],
       [250.59353597],
       [221.19303921]]))"
0.3,6,2.0,33.897327894606285,"(array([[ 2.        ],
       [ 0.66666667],
       [ 5.33333333],
       [ 3.11111111],
       [11.77777778],
       [ 6.88888889],
       [ 2.22222222],
       [ 2.22222222],
       [ 3.33333333],
       [ 3.33333333],
       [ 2.66666667],
       [ 1.77777778],
       [ 3.33333333],
       [ 5.77777778],
       [ 4.22222222],
       [ 5.33333333],
       [10.88888889],
       [ 3.77777778],
       [ 2.        ],
       [ 1.55555556],
       [ 4.22222222],
       [ 2.        ],
       [ 8.88888889],
       [ 0.66666667],
       [ 1.33333333],
       [ 1.55555556],
       [ 1.77777778],
       [ 3.11111111],
       [ 1.33333333],
       [ 5.77777778],
       [ 4.22222222],
       [ 2.66666667],
       [ 3.77777778],
       [ 9.11111111],
       [ 1.33333333],
       [10.44444444],
       [ 5.55555556],
       [ 4.        ],
       [ 1.33333333],
       [ 4.88888889],
       [ 2.66666667],
       [ 2.22222222],
       [ 0.88888889],
       [ 3.11111111],
       [ 6.44444444],
       [ 5.55555556],
       [ 3.77777778],
       [ 6.88888889],
       [ 4.22222222],
       [ 3.55555556],
       [ 4.44444444],
       [ 4.22222222],
       [ 3.55555556],
       [ 3.11111111],
       [ 4.44444444],
       [ 0.66666667],
       [ 1.11111111],
       [ 5.33333333],
       [ 1.11111111],
       [ 1.11111111],
       [ 5.11111111],
       [ 2.66666667],
       [ 4.66666667],
       [ 9.33333333],
       [ 2.88888889],
       [ 2.66666667],
       [ 3.11111111]]), array([[ 33.89732789],
       [190.86987305],
       [182.44309328],
       [197.06236119],
       [163.80721053],
       [157.45010347],
       [180.24269456],
       [192.28351646],
       [225.48896401],
       [212.04823744],
       [188.64449314],
       [178.36076494],
       [161.02898317],
       [158.96157689],
       [190.65646971],
       [180.45219864],
       [202.78521691],
       [201.2986502 ],
       [215.15589765],
       [188.9285494 ],
       [151.11296516],
       [198.88333269],
       [214.78292735],
       [199.50551618],
       [185.39885592],
       [252.52548428],
       [199.30313162],
       [223.27483428],
       [210.66549772],
       [200.20940336],
       [223.02497138],
       [203.97480741],
       [177.01153691],
       [203.10524711],
       [213.42060513],
       [171.68716498],
       [209.86043683],
       [212.05296178],
       [192.02971688],
       [184.7893229 ],
       [222.55025118],
       [174.15339029],
       [228.32342953],
       [204.99974274],
       [225.64955222],
       [202.08064164],
       [216.97197602],
       [229.14218589],
       [199.2220491 ],
       [187.37008712],
       [216.1648949 ],
       [259.19126975],
       [203.5484051 ],
       [169.61688093],
       [153.68263576],
       [218.80586924],
       [200.02704701],
       [179.16796933],
       [197.67959091],
       [211.04382639],
       [173.54983989],
       [181.9449724 ],
       [218.60593297],
       [240.28254452],
       [194.335672  ],
       [220.21383302],
       [176.69886138]]))"
0.35,3,2.888888888888889,24.71021733578894,"(array([[ 2.88888889],
       [ 3.77777778],
       [ 6.22222222],
       [ 7.33333333],
       [ 4.22222222],
       [ 5.55555556],
       [ 0.88888889],
       [ 2.66666667],
       [ 2.        ],
       [ 1.11111111],
       [ 6.88888889],
       [ 8.44444444],
       [ 1.33333333],
       [10.        ],
       [ 8.        ],
       [ 3.33333333],
       [ 7.33333333],
       [ 2.66666667],
       [ 1.11111111],
       [10.88888889],
       [ 0.88888889],
       [ 0.66666667],
       [ 1.11111111],
       [ 2.22222222],
       [ 8.66666667],
       [ 2.66666667],
       [ 5.77777778],
       [ 0.88888889],
       [ 0.88888889],
       [ 4.22222222],
       [ 5.55555556],
       [ 8.66666667],
       [ 1.77777778],
       [11.55555556],
       [ 0.88888889],
       [ 4.44444444],
       [ 3.55555556],
       [ 1.55555556],
       [ 0.66666667],
       [ 2.88888889],
       [ 9.55555556],
       [ 6.22222222],
       [ 5.33333333],
       [ 4.44444444],
       [ 1.55555556],
       [ 4.22222222],
       [ 3.77777778],
       [ 2.88888889],
       [ 6.88888889],
       [ 3.55555556],
       [ 2.66666667],
       [ 1.55555556],
       [ 3.77777778],
       [ 5.33333333],
       [ 5.55555556],
       [ 4.66666667],
       [ 1.11111111],
       [ 2.22222222],
       [ 1.77777778],
       [ 4.44444444],
       [ 7.33333333],
       [ 5.33333333],
       [ 4.66666667],
       [ 3.77777778],
       [ 2.44444444],
       [ 4.22222222],
       [ 4.66666667]]), array([[ 24.71021734],
       [185.20387383],
       [236.86982813],
       [229.47010937],
       [230.63827862],
       [245.02932115],
       [235.72106271],
       [221.17337025],
       [248.86581887],
       [206.15864946],
       [183.96566728],
       [208.46702539],
       [183.46634782],
       [189.79437947],
       [193.69040006],
       [200.65715871],
       [185.12642001],
       [195.91243555],
       [170.25453886],
       [172.51139211],
       [237.68645465],
       [221.49299521],
       [218.83417626],
       [179.96720695],
       [185.03376494],
       [228.06474885],
       [267.27645255],
       [173.10511971],
       [226.10704946],
       [254.16645577],
       [198.09997209],
       [210.37486296],
       [207.3098787 ],
       [176.28197513],
       [208.42604603],
       [207.7057936 ],
       [206.06640606],
       [310.39445752],
       [249.99326897],
       [209.83823591],
       [178.53513551],
       [218.66864728],
       [208.99503452],
       [211.97139829],
       [197.57236553],
       [219.74128665],
       [176.03172755],
       [202.89087736],
       [188.7759264 ],
       [182.93384246],
       [176.824167  ],
       [228.48197281],
       [246.72838438],
       [188.53524058],
       [155.84436178],
       [197.31535477],
       [206.89603065],
       [223.02776803],
       [196.1249065 ],
       [203.28102509],
       [231.1121568 ],
       [218.22819868],
       [199.45297724],
       [217.6235091 ],
       [208.48815121],
       [182.8349709 ],
       [180.24245621]]))"
0.35,6,4.444444444444445,25.531535365345967,"(array([[ 4.44444444],
       [ 6.88888889],
       [ 4.44444444],
       [ 3.11111111],
       [ 4.22222222],
       [ 4.22222222],
       [10.88888889],
       [ 6.44444444],
       [ 0.88888889],
       [ 2.        ],
       [ 8.22222222],
       [ 5.77777778],
       [ 2.44444444],
       [ 5.33333333],
       [ 4.88888889],
       [13.11111111],
       [ 7.55555556],
       [ 6.88888889],
       [ 3.11111111],
       [ 2.        ],
       [ 4.44444444],
       [ 4.66666667],
       [ 6.        ],
       [ 0.88888889],
       [10.44444444],
       [ 2.44444444],
       [ 3.11111111],
       [10.66666667],
       [ 3.11111111],
       [ 4.        ],
       [ 2.        ],
       [ 0.66666667],
       [ 2.66666667],
       [ 0.66666667],
       [ 8.88888889],
       [ 4.66666667],
       [ 5.33333333],
       [ 2.44444444],
       [ 1.11111111],
       [ 5.33333333],
       [ 8.44444444],
       [ 6.66666667],
       [ 6.22222222],
       [ 3.33333333],
       [ 1.33333333],
       [ 2.88888889],
       [ 8.44444444],
       [ 1.33333333],
       [ 3.33333333],
       [ 2.22222222],
       [ 0.88888889],
       [ 1.55555556],
       [ 2.66666667],
       [14.44444444],
       [ 5.77777778],
       [ 5.77777778],
       [ 3.33333333],
       [ 3.33333333],
       [ 6.66666667],
       [13.77777778],
       [ 2.88888889],
       [ 2.88888889],
       [ 2.44444444],
       [ 4.22222222],
       [ 2.        ],
       [ 3.77777778],
       [ 3.55555556]]), array([[ 25.53153537],
       [173.21412415],
       [219.00237433],
       [190.45797866],
       [198.133086  ],
       [220.04994427],
       [157.66735898],
       [151.18513344],
       [202.23467603],
       [181.32815575],
       [236.90403393],
       [232.06675533],
       [265.29466075],
       [232.14552785],
       [194.98976993],
       [187.96347146],
       [169.18370908],
       [182.19060285],
       [207.49286257],
       [205.40992843],
       [223.32510917],
       [217.56356484],
       [183.06772155],
       [201.6493074 ],
       [184.49396613],
       [206.49459205],
       [190.46253728],
       [163.97607725],
       [199.04269118],
       [177.10274374],
       [179.12033851],
       [204.80830752],
       [214.7018272 ],
       [228.06118271],
       [201.84348885],
       [188.18126078],
       [164.08919491],
       [195.83274946],
       [219.75823336],
       [206.77381236],
       [237.56804465],
       [175.46108544],
       [163.1423949 ],
       [182.57026205],
       [183.9090319 ],
       [197.50273739],
       [180.60138227],
       [193.04992895],
       [173.62113793],
       [175.89282477],
       [227.02471502],
       [240.24154733],
       [165.75007904],
       [159.30789193],
       [186.40321752],
       [221.47909276],
       [181.71938532],
       [205.58703289],
       [201.23656822],
       [171.18038295],
       [227.58258374],
       [202.74855974],
       [183.50906907],
       [200.44112916],
       [227.51744647],
       [151.22174585],
       [217.9041241 ]]))"
0.4,3,0.8888888888888888,30.570538290132273,"(array([[ 0.88888889],
       [ 2.88888889],
       [ 1.11111111],
       [ 2.66666667],
       [ 3.77777778],
       [10.88888889],
       [ 0.88888889],
       [ 4.88888889],
       [ 2.44444444],
       [ 4.        ],
       [ 2.22222222],
       [ 4.44444444],
       [ 6.66666667],
       [ 3.33333333],
       [ 6.22222222],
       [ 4.44444444],
       [ 2.22222222],
       [ 4.88888889],
       [ 7.33333333],
       [ 3.55555556],
       [ 1.77777778],
       [ 5.11111111],
       [ 6.66666667],
       [ 5.11111111],
       [ 6.44444444],
       [ 3.33333333],
       [ 2.66666667],
       [ 4.22222222],
       [ 4.        ],
       [ 7.33333333],
       [ 2.22222222],
       [ 7.33333333],
       [ 1.55555556],
       [ 0.88888889],
       [ 0.88888889],
       [ 3.77777778],
       [ 1.33333333],
       [10.        ],
       [ 8.44444444],
       [ 2.22222222],
       [ 3.55555556],
       [11.55555556],
       [ 2.        ],
       [ 7.55555556],
       [ 2.22222222],
       [ 6.66666667],
       [ 1.33333333],
       [ 3.33333333],
       [ 5.55555556],
       [ 4.66666667],
       [ 7.11111111],
       [ 2.        ],
       [ 1.55555556],
       [ 6.44444444],
       [ 4.22222222],
       [ 6.44444444],
       [ 0.88888889],
       [ 1.55555556],
       [ 6.        ],
       [ 3.55555556],
       [ 2.        ],
       [ 2.66666667],
       [ 0.66666667],
       [ 1.33333333],
       [ 8.44444444],
       [ 4.66666667],
       [ 6.22222222]]), array([[ 30.57053829],
       [201.30194154],
       [189.94859407],
       [202.89052626],
       [190.93142266],
       [215.00038539],
       [171.44116621],
       [174.62533678],
       [191.89937285],
       [208.99878153],
       [149.15352925],
       [214.61602928],
       [210.27470385],
       [198.77755266],
       [234.65039667],
       [240.29557931],
       [180.27374504],
       [182.6203701 ],
       [199.14622193],
       [191.45637967],
       [203.75586059],
       [180.05248437],
       [149.21997214],
       [217.50977728],
       [168.46325461],
       [230.05931469],
       [193.86250319],
       [231.35348911],
       [172.0588267 ],
       [239.75479294],
       [220.89611453],
       [185.15276357],
       [248.15721554],
       [176.10445137],
       [163.81889695],
       [192.95418679],
       [186.89426921],
       [193.91685509],
       [169.28060539],
       [227.04959281],
       [231.56720711],
       [190.44018123],
       [188.71292048],
       [216.0430089 ],
       [238.85144639],
       [176.89417683],
       [221.3656837 ],
       [274.43816573],
       [200.40550808],
       [190.74376343],
       [223.12764462],
       [192.10271641],
       [221.81809174],
       [193.00517887],
       [220.08570668],
       [173.8938623 ],
       [186.55067208],
       [228.04183143],
       [199.86212394],
       [241.11380163],
       [241.92505734],
       [185.98282297],
       [157.16146815],
       [196.91902003],
       [168.78412147],
       [196.1900584 ],
       [240.31616689]]))"
0.4,6,3.7777777777777777,22.0485004905809,"(array([[ 3.77777778],
       [ 3.55555556],
       [ 5.77777778],
       [ 2.44444444],
       [ 4.44444444],
       [10.        ],
       [ 5.77777778],
       [ 6.44444444],
       [ 6.22222222],
       [ 0.88888889],
       [ 4.44444444],
       [ 4.44444444],
       [ 0.66666667],
       [ 1.55555556],
       [ 4.88888889],
       [ 6.88888889],
       [ 2.        ],
       [ 1.11111111],
       [ 5.33333333],
       [ 1.55555556],
       [ 6.66666667],
       [ 1.33333333],
       [ 3.11111111],
       [ 2.66666667],
       [11.55555556],
       [ 2.22222222],
       [ 4.44444444],
       [ 4.        ],
       [ 5.55555556],
       [10.22222222],
       [ 3.77777778],
       [ 4.22222222],
       [ 3.77777778],
       [ 5.33333333],
       [ 0.88888889],
       [ 1.11111111],
       [ 3.55555556],
       [ 4.66666667],
       [ 1.55555556],
       [ 5.55555556],
       [ 8.44444444],
       [ 5.11111111],
       [10.66666667],
       [ 1.77777778],
       [ 3.33333333],
       [ 6.        ],
       [ 3.11111111],
       [ 1.11111111],
       [ 2.88888889],
       [ 5.77777778],
       [ 4.66666667],
       [ 1.11111111],
       [ 2.66666667],
       [ 0.66666667],
       [ 6.        ],
       [ 3.55555556],
       [ 6.        ],
       [ 5.11111111],
       [ 2.44444444],
       [ 6.88888889],
       [ 4.66666667],
       [ 6.22222222],
       [ 2.88888889],
       [ 0.66666667],
       [ 7.11111111],
       [ 0.66666667],
       [ 2.88888889]]), array([[ 22.04850049],
       [213.56870523],
       [199.65172893],
       [194.97356784],
       [180.83634071],
       [207.20128811],
       [188.38836534],
       [185.53430426],
       [196.39273465],
       [235.49662244],
       [250.8932754 ],
       [176.62086701],
       [193.90186485],
       [188.03148134],
       [237.05633599],
       [208.38268956],
       [226.21140597],
       [229.32048666],
       [200.86100521],
       [299.45951752],
       [205.60781071],
       [179.16662029],
       [163.67864179],
       [241.11788133],
       [204.16609293],
       [214.16582287],
       [192.84704941],
       [237.71965188],
       [204.0250112 ],
       [184.84472508],
       [207.55706405],
       [217.92184575],
       [167.27416658],
       [162.84973682],
       [183.6306425 ],
       [248.64178695],
       [204.86063291],
       [188.8019502 ],
       [246.75441583],
       [181.44042767],
       [220.48678693],
       [188.85586693],
       [157.43992394],
       [189.87519755],
       [175.58763986],
       [190.59573234],
       [193.26559369],
       [167.02761538],
       [221.38032965],
       [257.2283057 ],
       [172.76870879],
       [167.2865487 ],
       [237.90010283],
       [211.46520618],
       [192.03231008],
       [256.0073826 ],
       [197.47174738],
       [186.77013903],
       [210.82624325],
       [195.473907  ],
       [187.64335081],
       [199.21945711],
       [206.19766003],
       [201.57603338],
       [190.3045674 ],
       [233.17869994],
       [177.86621861]]))"
0.45,3,2.0,30.91902290974193,"(array([[ 2.        ],
       [ 6.        ],
       [ 2.        ],
       [ 7.77777778],
       [ 2.88888889],
       [ 1.55555556],
       [ 1.55555556],
       [ 3.55555556],
       [ 7.33333333],
       [ 3.77777778],
       [ 1.77777778],
       [ 0.88888889],
       [ 2.44444444],
       [ 9.11111111],
       [ 7.55555556],
       [ 4.22222222],
       [ 2.        ],
       [ 4.        ],
       [ 4.88888889],
       [ 5.33333333],
       [ 1.55555556],
       [ 3.11111111],
       [ 5.11111111],
       [ 2.        ],
       [ 4.22222222],
       [10.66666667],
       [ 2.        ],
       [ 6.44444444],
       [ 2.88888889],
       [11.33333333],
       [11.77777778],
       [ 0.88888889],
       [ 0.66666667],
       [ 0.66666667],
       [ 0.66666667],
       [ 2.44444444],
       [ 2.44444444],
       [ 3.77777778],
       [ 0.88888889],
       [ 6.        ],
       [ 6.44444444],
       [ 2.88888889],
       [ 5.77777778],
       [ 1.11111111],
       [ 6.44444444],
       [ 4.22222222],
       [ 8.44444444],
       [ 4.        ],
       [ 1.77777778],
       [ 4.66666667],
       [ 1.55555556],
       [ 4.        ],
       [ 1.33333333],
       [ 6.22222222],
       [ 1.77777778],
       [ 4.88888889],
       [ 2.88888889],
       [ 2.22222222],
       [ 2.22222222],
       [ 2.22222222],
       [ 3.77777778],
       [ 4.        ],
       [ 6.22222222],
       [ 0.66666667],
       [ 0.88888889],
       [ 7.55555556],
       [ 0.88888889]]), array([[ 30.91902291],
       [228.08655875],
       [204.36292604],
       [199.5993201 ],
       [180.18093357],
       [168.81331603],
       [185.9416068 ],
       [175.07266349],
       [150.53349548],
       [203.01591832],
       [193.44427683],
       [161.20367562],
       [239.77592946],
       [149.97182872],
       [172.71784732],
       [211.65963878],
       [188.11190159],
       [190.58108598],
       [163.46709509],
       [171.12115288],
       [178.99796941],
       [188.29303495],
       [244.89166882],
       [193.2499968 ],
       [198.63078899],
       [214.4132962 ],
       [154.10868068],
       [177.0617249 ],
       [156.28428488],
       [172.9293203 ],
       [159.79202237],
       [206.85236192],
       [220.27096038],
       [227.36462894],
       [228.10777705],
       [170.61353132],
       [211.13499059],
       [200.57070031],
       [184.66768098],
       [243.66482399],
       [223.80533151],
       [213.56779037],
       [162.89784976],
       [195.64809607],
       [206.00748711],
       [218.99787599],
       [184.10163284],
       [183.22949033],
       [168.6480721 ],
       [236.90382134],
       [167.27429415],
       [180.70986116],
       [202.55440759],
       [167.48995251],
       [226.74451766],
       [156.5091147 ],
       [158.27182966],
       [270.09253072],
       [236.16305886],
       [225.94280276],
       [216.93940548],
       [232.65772093],
       [165.87987714],
       [236.50370914],
       [231.05460041],
       [193.91392517],
       [214.76828128]]))"
0.45,6,4.0,22.757030148467035,"(array([[ 4.        ],
       [ 3.77777778],
       [ 6.66666667],
       [ 2.44444444],
       [ 1.11111111],
       [ 7.33333333],
       [ 4.88888889],
       [ 8.44444444],
       [ 2.88888889],
       [ 2.66666667],
       [ 5.11111111],
       [ 2.44444444],
       [ 4.88888889],
       [ 1.33333333],
       [ 2.66666667],
       [ 6.66666667],
       [ 8.44444444],
       [ 6.        ],
       [ 3.77777778],
       [ 6.        ],
       [ 3.33333333],
       [ 7.11111111],
       [ 1.77777778],
       [ 4.        ],
       [ 0.66666667],
       [10.        ],
       [ 2.        ],
       [ 6.88888889],
       [ 3.11111111],
       [ 3.55555556],
       [ 7.33333333],
       [ 0.66666667],
       [ 3.33333333],
       [ 8.88888889],
       [ 3.77777778],
       [ 3.77777778],
       [ 2.88888889],
       [12.22222222],
       [ 3.33333333],
       [ 0.66666667],
       [ 0.66666667],
       [ 2.22222222],
       [ 2.22222222],
       [ 2.44444444],
       [ 5.55555556],
       [ 2.22222222],
       [ 3.77777778],
       [ 3.33333333],
       [ 7.33333333],
       [ 5.11111111],
       [ 6.44444444],
       [ 1.33333333],
       [ 1.33333333],
       [ 2.88888889],
       [ 1.77777778],
       [ 5.33333333],
       [ 1.55555556],
       [ 1.77777778],
       [ 3.55555556],
       [ 1.77777778],
       [ 3.55555556],
       [10.88888889],
       [ 5.77777778],
       [ 2.        ],
       [ 5.55555556],
       [ 0.66666667],
       [ 3.77777778]]), array([[ 22.75703015],
       [214.55703545],
       [232.03558417],
       [170.32608021],
       [181.97554577],
       [165.51204611],
       [223.21107884],
       [154.61370366],
       [193.20856831],
       [201.50725703],
       [199.42833273],
       [245.84998014],
       [171.08607835],
       [171.52849932],
       [213.44968687],
       [226.86162897],
       [170.78750338],
       [230.06306803],
       [193.99972732],
       [197.08942356],
       [163.08457024],
       [203.47482689],
       [251.78643987],
       [187.85639443],
       [182.88488606],
       [176.63924506],
       [201.29875013],
       [181.12033786],
       [191.31073767],
       [178.23698902],
       [214.16302199],
       [208.53799122],
       [187.23764162],
       [160.33443538],
       [200.57695159],
       [149.1541592 ],
       [147.03595545],
       [181.63547476],
       [183.90772637],
       [259.57518048],
       [200.60585714],
       [197.1903197 ],
       [202.73622124],
       [179.26067856],
       [209.76804875],
       [234.68734521],
       [200.09352757],
       [231.89690782],
       [174.71012232],
       [185.90706128],
       [224.42980029],
       [168.85740342],
       [200.04385984],
       [241.42932342],
       [155.85314361],
       [198.9589253 ],
       [217.0834253 ],
       [173.00434694],
       [216.80769238],
       [207.16882568],
       [194.6145222 ],
       [177.65397517],
       [182.92942228],
       [178.25175953],
       [180.68419614],
       [264.2406673 ],
       [174.63139761]]))"
